키워드	날짜 및 시간	원본	이벤트 ID	작업 범주
감사 성공	2020-08-06 오후 5:37:18	Microsoft-Windows-Security-Auditing	5156	Filtering Platform Connection	"Windows 필터링 플랫폼에서 연결을 허용했습니다.

응용 프로그램 정보:
	프로세스 ID:		8444
	응용 프로그램 이름:	\device\harddiskvolume2\program files\logitech gaming software\lcore.exe

네트워크 정보:
	방향:		인바운드
	원본 주소:		192.168.10.101
	원본 포트:		54915
	대상 주소:	192.168.10.255
	대상 포트:		54915
	프로토콜:		17

필터 정보:
	필터 런타임 ID:	73148
	계층 이름:		수신/수락
	계층 런타임 ID:	44"
감사 성공	2020-08-06 오후 5:37:18	Microsoft-Windows-Security-Auditing	5156	Filtering Platform Connection	"Windows 필터링 플랫폼에서 연결을 허용했습니다.

응용 프로그램 정보:
	프로세스 ID:		4724
	응용 프로그램 이름:	\device\harddiskvolume2\windows\system32\svchost.exe

네트워크 정보:
	방향:		인바운드
	원본 주소:		192.168.10.3
	원본 포트:		60991
	대상 주소:	239.255.255.250
	대상 포트:		1900
	프로토콜:		17

필터 정보:
	필터 런타임 ID:	73148
	계층 이름:		수신/수락
	계층 런타임 ID:	44"
감사 성공	2020-08-06 오후 5:37:18	Microsoft-Windows-Security-Auditing	5156	Filtering Platform Connection	"Windows 필터링 플랫폼에서 연결을 허용했습니다.

응용 프로그램 정보:
	프로세스 ID:		4
	응용 프로그램 이름:	System

네트워크 정보:
	방향:		인바운드
	원본 주소:		192.168.10.232
	원본 포트:		137
	대상 주소:	192.168.10.255
	대상 포트:		137
	프로토콜:		17

필터 정보:
	필터 런타임 ID:	73148
	계층 이름:		수신/수락
	계층 런타임 ID:	44"
감사 성공	2020-08-06 오후 5:37:18	Microsoft-Windows-Security-Auditing	5156	Filtering Platform Connection	"Windows 필터링 플랫폼에서 연결을 허용했습니다.

응용 프로그램 정보:
	프로세스 ID:		8444
	응용 프로그램 이름:	\device\harddiskvolume2\program files\logitech gaming software\lcore.exe

네트워크 정보:
	방향:		인바운드
	원본 주소:		192.168.147.1
	원본 포트:		54915
	대상 주소:	192.168.147.255
	대상 포트:		54915
	프로토콜:		17

필터 정보:
	필터 런타임 ID:	73148
	계층 이름:		수신/수락
	계층 런타임 ID:	44"
감사 성공	2020-08-06 오후 5:37:18	Microsoft-Windows-Security-Auditing	5156	Filtering Platform Connection	"Windows 필터링 플랫폼에서 연결을 허용했습니다.

응용 프로그램 정보:
	프로세스 ID:		8444
	응용 프로그램 이름:	\device\harddiskvolume2\program files\logitech gaming software\lcore.exe

네트워크 정보:
	방향:		인바운드
	원본 주소:		192.168.37.1
	원본 포트:		54915
	대상 주소:	192.168.37.255
	대상 포트:		54915
	프로토콜:		17

필터 정보:
	필터 런타임 ID:	73148
	계층 이름:		수신/수락
	계층 런타임 ID:	44"
감사 성공	2020-08-06 오후 5:37:18	Microsoft-Windows-Security-Auditing	5156	Filtering Platform Connection	"Windows 필터링 플랫폼에서 연결을 허용했습니다.

응용 프로그램 정보:
	프로세스 ID:		8444
	응용 프로그램 이름:	\device\harddiskvolume2\program files\logitech gaming software\lcore.exe

네트워크 정보:
	방향:		인바운드
	원본 주소:		192.168.10.70
	원본 포트:		54915
	대상 주소:	192.168.10.255
	대상 포트:		54915
	프로토콜:		17

필터 정보:
	필터 런타임 ID:	73148
	계층 이름:		수신/수락
	계층 런타임 ID:	44"
감사 성공	2020-08-06 오후 5:37:18	Microsoft-Windows-Security-Auditing	5156	Filtering Platform Connection	"Windows 필터링 플랫폼에서 연결을 허용했습니다.

응용 프로그램 정보:
	프로세스 ID:		8444
	응용 프로그램 이름:	\device\harddiskvolume2\program files\logitech gaming software\lcore.exe

네트워크 정보:
	방향:		인바운드
	원본 주소:		192.168.10.66
	원본 포트:		54915
	대상 주소:	192.168.10.255
	대상 포트:		54915
	프로토콜:		17

필터 정보:
	필터 런타임 ID:	73148
	계층 이름:		수신/수락
	계층 런타임 ID:	44"
감사 성공	2020-08-06 오후 5:37:18	Microsoft-Windows-Security-Auditing	5156	Filtering Platform Connection	"Windows 필터링 플랫폼에서 연결을 허용했습니다.

응용 프로그램 정보:
	프로세스 ID:		4
	응용 프로그램 이름:	System

네트워크 정보:
	방향:		인바운드
	원본 주소:		192.168.10.233
	원본 포트:		137
	대상 주소:	192.168.10.255
	대상 포트:		137
	프로토콜:		17

필터 정보:
	필터 런타임 ID:	73148
	계층 이름:		수신/수락
	계층 런타임 ID:	44"
감사 성공	2020-08-06 오후 5:37:17	Microsoft-Windows-Security-Auditing	5156	Filtering Platform Connection	"Windows 필터링 플랫폼에서 연결을 허용했습니다.

응용 프로그램 정보:
	프로세스 ID:		4
	응용 프로그램 이름:	System

네트워크 정보:
	방향:		인바운드
	원본 주소:		192.168.10.231
	원본 포트:		137
	대상 주소:	192.168.10.255
	대상 포트:		137
	프로토콜:		17

필터 정보:
	필터 런타임 ID:	73148
	계층 이름:		수신/수락
	계층 런타임 ID:	44"
감사 성공	2020-08-06 오후 5:37:17	Microsoft-Windows-Security-Auditing	5156	Filtering Platform Connection	"Windows 필터링 플랫폼에서 연결을 허용했습니다.

응용 프로그램 정보:
	프로세스 ID:		4
	응용 프로그램 이름:	System

네트워크 정보:
	방향:		인바운드
	원본 주소:		192.168.10.8
	원본 포트:		137
	대상 주소:	192.168.10.255
	대상 포트:		137
	프로토콜:		17

필터 정보:
	필터 런타임 ID:	73148
	계층 이름:		수신/수락
	계층 런타임 ID:	44"
